epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,601.58,2.61839,2.65801,0.00125,0.81141,0.80873,0.81967,0.41116,2.4363,2.30011,0.00185,0.00132868,0.00132868,0.00132868
43,615.116,2.59049,2.56992,0.00127,0.82339,0.80186,0.82721,0.41758,2.46408,2.23465,0.00187,0.00132043,0.00132043,0.00132043
44,629.001,2.60719,2.60351,0.00121,0.77501,0.8028,0.78623,0.39015,2.51752,2.22053,0.00194,0.00131218,0.00131218,0.00131218
45,642.007,2.63363,2.55651,0.00129,0.78637,0.80854,0.78628,0.41233,2.4538,2.22894,0.00188,0.00130393,0.00130393,0.00130393
46,654.799,2.61497,2.61471,0.00127,0.81623,0.81182,0.81026,0.41211,2.43936,2.28625,0.00188,0.00129568,0.00129568,0.00129568
47,667.928,2.54036,2.57833,0.00123,0.83604,0.79922,0.81904,0.42447,2.3934,2.28746,0.00184,0.00128742,0.00128742,0.00128742
48,681.1,2.56417,2.5163,0.00126,0.82617,0.77394,0.79283,0.40449,2.5137,2.24612,0.00194,0.00127917,0.00127917,0.00127917
49,694.042,2.58057,2.54801,0.00126,0.86132,0.78788,0.83223,0.41713,2.46396,2.19934,0.00188,0.00127092,0.00127092,0.00127092
50,707.604,2.60954,2.54019,0.00127,0.8302,0.79799,0.80337,0.42184,2.41836,2.24139,0.00186,0.00126267,0.00126267,0.00126267
51,720.567,2.57618,2.41464,0.00122,0.78599,0.82506,0.81072,0.41983,2.44904,2.14807,0.00187,0.00125442,0.00125442,0.00125442
52,733.692,2.62508,2.47283,0.00129,0.85358,0.78079,0.81823,0.42687,2.42114,2.21623,0.00185,0.00124617,0.00124617,0.00124617
53,746.554,2.57804,2.54327,0.00123,0.82984,0.81631,0.81857,0.44047,2.39503,2.15801,0.00182,0.00123791,0.00123791,0.00123791
54,759.588,2.54126,2.41126,0.00121,0.8193,0.83227,0.83656,0.44341,2.42367,2.19124,0.00185,0.00122966,0.00122966,0.00122966
55,773.043,2.56141,2.50999,0.00127,0.83702,0.84182,0.84032,0.44158,2.38203,2.17217,0.0018,0.00122141,0.00122141,0.00122141
56,791.318,2.53539,2.41546,0.00125,0.83373,0.78626,0.80624,0.42466,2.44447,2.20928,0.00187,0.00121316,0.00121316,0.00121316
57,804.461,2.56143,2.47099,0.00123,0.79567,0.83572,0.82715,0.43712,2.40155,2.25252,0.00182,0.00120491,0.00120491,0.00120491
58,819.911,2.53562,2.52528,0.00122,0.87451,0.82003,0.85372,0.44042,2.40898,2.19677,0.00183,0.00119666,0.00119666,0.00119666
59,832.885,2.56075,2.47623,0.0012,0.8061,0.83307,0.81911,0.43225,2.42422,2.14215,0.00188,0.0011884,0.0011884,0.0011884
60,846.749,2.53944,2.40843,0.00122,0.83986,0.82248,0.84549,0.43247,2.43232,2.24908,0.00187,0.00118015,0.00118015,0.00118015
61,860.873,2.52066,2.36929,0.00122,0.82927,0.8175,0.82869,0.43837,2.42734,2.19359,0.00187,0.0011719,0.0011719,0.0011719
62,874.334,2.56451,2.44497,0.00119,0.84776,0.78479,0.82455,0.43408,2.40641,2.15712,0.00184,0.00116365,0.00116365,0.00116365
63,887.126,2.59889,2.39174,0.00123,0.8322,0.79386,0.82926,0.4441,2.39132,2.08916,0.00182,0.0011554,0.0011554,0.0011554
64,900.483,2.49257,2.37737,0.00124,0.87462,0.78401,0.84826,0.43417,2.43052,2.0786,0.00184,0.00114715,0.00114715,0.00114715
65,913.903,2.5116,2.41052,0.00123,0.84821,0.81135,0.8454,0.43094,2.4133,2.09146,0.00184,0.00113889,0.00113889,0.00113889
66,926.781,2.52402,2.37109,0.0012,0.86412,0.81182,0.84653,0.44679,2.3739,2.12199,0.0018,0.00113064,0.00113064,0.00113064
67,939.977,2.54343,2.46701,0.00122,0.8665,0.81364,0.84266,0.44669,2.38809,2.12654,0.0018,0.00112239,0.00112239,0.00112239
68,952.952,2.50677,2.38595,0.00121,0.86635,0.81741,0.85183,0.44666,2.39707,2.15003,0.00181,0.00111414,0.00111414,0.00111414
69,964.987,2.56111,2.32184,0.0012,0.86209,0.82045,0.87412,0.43814,2.39665,2.09508,0.00181,0.00110589,0.00110589,0.00110589
70,977.179,2.57481,2.37771,0.00121,0.86573,0.81263,0.83715,0.43866,2.39923,2.03101,0.00182,0.00109764,0.00109764,0.00109764
71,988.996,2.56123,2.39998,0.00124,0.82764,0.82049,0.81224,0.43735,2.40621,2.15769,0.00184,0.00108938,0.00108938,0.00108938
72,1001.08,2.5685,2.43382,0.00122,0.81272,0.82241,0.83197,0.43961,2.4195,2.19974,0.00184,0.00108113,0.00108113,0.00108113
73,1012.83,2.54184,2.44242,0.00119,0.8345,0.81142,0.83749,0.43254,2.38332,2.13225,0.00181,0.00107288,0.00107288,0.00107288
74,1024.78,2.54054,2.30473,0.0012,0.85103,0.85097,0.86463,0.44772,2.39322,2.10537,0.00182,0.00106463,0.00106463,0.00106463
75,1037.02,2.50234,2.34379,0.00123,0.84911,0.84089,0.86272,0.45029,2.39985,2.19973,0.00183,0.00105638,0.00105638,0.00105638
76,1058.94,2.49618,2.36472,0.00122,0.88066,0.80004,0.85758,0.43687,2.41576,2.16372,0.00185,0.00104813,0.00104813,0.00104813
